Query	Quality Threshold	Repetition	Unfairness
Query 1	θ = 0.98	169518	0.303040
Query 2	θ = 0.28	42775	0.01
Query 1	θ = 0.28	124165	0.01
Query 1	θ = 0.78	48588	0.184181
Query 2	θ = 0.98	104103	0.065876
Query 3	θ = 0.28	29272	0.01
Query 1	θ = 0.48	44686	0.058222
Query 3	θ = 0.78	138926	0.095304
Query 2	θ = 0.78	58341	0.03
Query 1	θ = 0.28	28940	0.01
Query 2	θ = 0.48	7588	0.01
Query 1	θ = 0.98	54090	0.216134
Query 2	θ = 0.48	73551	0.01
Query 2	θ = 0.28	108027	0.01
Query 3	θ = 0.28	155237	0.01
Query 1	θ = 0.88	163078	0.228108
Query 1	θ = 0.98	69768	0.232341
Query 2	θ = 0.88	37319	0.074411
Query 1	θ = 0.88	15826	0.306310
Query 3	θ = 0.98	157530	0.229570
Query 2	θ = 0.98	116636	0.070895
Query 1	θ = 0.88	158843	0.229933
Query 1	θ = 0.98	128065	0.278903
Query 1	θ = 0.28	192207	0.01
Query 2	θ = 0.98	73189	0.051517
Query 1	θ = 0.78	99237	0.147174
Query 2	θ = 0.28	84171	0.01
Query 2	θ = 0.98	4155	0.003914
Query 1	θ = 0.48	127145	0.014050
Query 3	θ = 0.88	159492	0.173428
Query 2	θ = 0.78	181891	0.05
Query 2	θ = 0.98	117149	0.071093
Query 2	θ = 0.98	95417	0.062153
Query 2	θ = 0.48	146102	0.02
Query 2	θ = 0.88	158553	0.023616
Query 3	θ = 0.78	166163	0.085217
Query 2	θ = 0.98	30466	0.025424
Query 1	θ = 0.98	170679	0.303636
Query 2	θ = 0.88	113644	0.039650
Query 2	θ = 0.28	110982	0.01
Query 1	θ = 0.28	111024	0.01
Query 1	θ = 0.78	23262	0.201230
Query 3	θ = 0.98	119277	0.209591
Query 3	θ = 0.48	151892	0.01
Query 2	θ = 0.48	39025	0.01
Query 1	θ = 0.48	171850	0.01
Query 3	θ = 0.48	144371	0.02
Query 3	θ = 0.88	147989	0.177314
Query 3	θ = 0.98	155066	0.228414
Query 2	θ = 0.78	174359	0.03
Query 1	θ = 0.48	178889	0.01
Query 2	θ = 0.88	14617	0.087204
Query 2	θ = 0.48	178419	0.02
